1	PSCE	Jun 08, 2017	13.37	Mar 09, 2017	17.21	-22.312607	-6.7642975	*P*
2	OIL	Jun 09, 2017	4.83	Mar 07, 2017	6.02	-19.767448	-4.545456	*P*
3	FSESX	Jun 07, 2017	44.79	Mar 08, 2017	51.95	-13.782486	-2.226593
4	IBM	Jun 08, 2017	152.1	Mar 09, 2017	175.47	-13.318512	-0.37335205
5	FSNGX	Jun 07, 2017	23.16	Mar 08, 2017	26.51	-12.636742	-3.1772614
6	UGA	Jun 08, 2017	23.77	Mar 09, 2017	26.36	-9.825493	-6.784317
7	FSENX	Jun 07, 2017	38.63	Mar 08, 2017	42.46	-9.020248	-2.2767487
8	ICENX	Jun 07, 2017	11.45	Mar 08, 2017	12.58	-8.982513	-2.3870392
9	FSRBX	Jun 07, 2017	31.13	Mar 08, 2017	33.65	-7.488861	1.3016586
10	CHAD	Jun 08, 2017	37.45	Mar 09, 2017	40.46	-7.439438	-2.5754395
11	FNARX	Jun 07, 2017	26.06	Mar 08, 2017	28.1	-7.2597885	-1.9563599	*P*
12	XLE	Jun 08, 2017	64.86	Mar 09, 2017	69.69	-6.9306946	-1.5034103
13	CSCO	Jun 08, 2017	31.61	Mar 09, 2017	33.78	-6.423912	-0.6599579
14	AMLP	Jun 08, 2017	11.73	Mar 09, 2017	12.46	-5.8587494	-2.3313904
15	DBC	Jun 08, 2017	14.24	Mar 09, 2017	15.05	-5.382065	-1.7253265
16	KRE	Jun 08, 2017	54.08	Mar 09, 2017	57.08	-5.255783	2.5213394
17	FBIOX	Jun 07, 2017	196.91	Mar 08, 2017	205.12	-4.002533	3.4680252	*P*
18	FCSSX	Jun 07, 2017	5.07	Mar 08, 2017	5.28	-3.977272	-1.1695938
19	EWZ	Jun 08, 2017	34.89	Mar 09, 2017	36.32	-3.9372253	0.0
20	FIDSX	Jun 07, 2017	97.9	Mar 08, 2017	101.79	-3.8215942	1.4087448
21	FCSFX	Jun 07, 2017	5.14	Mar 08, 2017	5.34	-3.7453232	-0.96339417
22	XLF	Jun 08, 2017	23.84	Mar 09, 2017	24.72	-3.5598679	1.2744217
23	PCRIX	Jun 07, 2017	6.7	Mar 08, 2017	6.93	-3.3189087	-1.0339737	*BT*
24	RYURX	Jun 07, 2017	68.07	Mar 08, 2017	70.37	-3.2684479	-0.91703033
25	RZV	Jun 08, 2017	65.53	Mar 09, 2017	67.59	-3.047783	0.07635498
26	ERUS	Jun 08, 2017	29.36	Mar 09, 2017	30.18	-2.7170334	-1.1447754
