1	CHAD	Oct 13, 2017	32.57	Jul 17, 2017	36.0	-9.527779	32.75	-0.5496216
2	FEXKX	Oct 13, 2017	21.12	Jul 17, 2017	22.69	-6.9193497	21.21	-0.4243164
3	FEXPX	Oct 13, 2017	21.17	Jul 17, 2017	22.72	-6.8221817	21.26	-0.4233322
4	AMLP	Oct 13, 2017	11.18	Jul 17, 2017	11.84	-5.5743256	11.4	-1.9298172
5	FSHCX	Oct 13, 2017	87.85	Jul 17, 2017	92.77	-5.3034363	91.74	-4.240242
6	RYURX	Oct 13, 2017	64.63	Jul 17, 2017	67.27	-3.9244843	64.71	-0.12363434
7	PHK	Oct 13, 2017	8.19	Jul 17, 2017	8.45	-3.0769196	8.22	-0.36497498	*P*
8	IBM	Oct 13, 2017	147.1	Jul 17, 2017	151.41	-2.8465729	146.48	0.4232788
9	FDFAX	Oct 13, 2017	96.93	Jul 17, 2017	99.06	-2.1502075	95.63	1.3594131
10	CHTTX	Oct 13, 2017	42.79	Jul 17, 2017	43.53	-1.6999741	43.25	-1.0635757
11	FBALX	Oct 13, 2017	23.59	Jul 17, 2017	23.99	-1.667366	24.81	-4.9173737
12	FBAKX	Oct 13, 2017	23.59	Jul 17, 2017	23.98	-1.626358	24.82	-4.955681
13	FBMPX	Oct 13, 2017	79.56	Jul 17, 2017	80.86	-1.6077194	81.65	-2.5597076
14	HLPPX	Oct 13, 2017	14.67	Jul 17, 2017	14.85	-1.2121277	14.63	0.27340698
15	FSOFX	Sep 06, 2017	14.15	Jun 07, 2017	14.3	-1.0489502	14.15	0.0
16	FZAAX	Oct 13, 2017	21.09	Jul 17, 2017	21.23	-0.6594391	21.96	-3.9617386	*BT*
17	FKVFX	Sep 13, 2017	13.85	Jun 14, 2017	13.91	-0.43134308	13.83	0.14461517
18	FFKCX	Sep 13, 2017	13.15	Jun 14, 2017	13.2	-0.37878418	13.13	0.15231323
19	FSMEX	Oct 13, 2017	46.34	Jul 17, 2017	46.51	-0.36550903	46.74	-0.85580444
20	FFIPX	Sep 06, 2017	9.93	Jun 07, 2017	9.93	0.0	9.93	0.0
21	SHY	Oct 13, 2017	84.39	Jul 17, 2017	84.38	0.01184845	84.34	0.059280396
22	FFXSX	Oct 13, 2017	9.94	Jul 17, 2017	9.93	0.10069275	9.93	0.10069275
23	BSV	Oct 13, 2017	79.78	Jul 17, 2017	79.66	0.15063477	79.69	0.11293793	*P*
24	FNORX	Oct 13, 2017	54.27	Jul 17, 2017	54.17	0.18460846	53.88	0.72382355	*P*
25	VSGBX	Oct 13, 2017	10.69	Jul 17, 2017	10.67	0.18743134	10.68	0.09362793
26	BTTTX	Oct 13, 2017	104.25	Jul 17, 2017	104.05	0.19221497	104.13	0.115242004
27	FSBAX	Oct 13, 2017	10.4	Jul 17, 2017	10.38	0.19268036	10.39	0.09623718
28	FSDCX	Oct 13, 2017	34.75	Jul 17, 2017	34.68	0.20184326	35.08	-0.940712
29	IEI	Oct 13, 2017	123.6	Jul 17, 2017	123.35	0.2026825	123.22	0.3083954
30	FSHFX	Sep 06, 2017	9.66	Jun 07, 2017	9.64	0.2074585	9.66	0.0
31	FFKVX	Sep 13, 2017	13.25	Jun 14, 2017	13.22	0.22692871	13.23	0.15116882
32	FSTGX	Oct 13, 2017	10.5	Jul 17, 2017	10.47	0.28652954	10.48	0.19084167
33	FCNVX	Oct 13, 2017	10.04	Jul 17, 2017	10.01	0.29969025	10.04	0.0
34	PRTIX	Oct 13, 2017	5.77	Jul 17, 2017	5.75	0.34783173	5.75	0.34783173
35	FSHBX	Oct 13, 2017	8.63	Jul 17, 2017	8.6	0.34883118	8.62	0.11601257
36	FFKDX	Sep 13, 2017	14.94	Jun 14, 2017	14.88	0.40322876	14.92	0.13404846
37	PTM	Oct 13, 2017	9.72	Jul 17, 2017	9.68	0.41322327	9.72	0.0
38	VFITX	Oct 13, 2017	11.2	Jul 17, 2017	11.15	0.44843292	11.16	0.35842896
39	VMLTX	Oct 13, 2017	10.99	Jul 17, 2017	10.94	0.45703888	10.99	0.0
40	FCSTX	Oct 13, 2017	10.66	Jul 17, 2017	10.61	0.47126007	10.65	0.09390259
41	FFKAX	Sep 13, 2017	12.04	Jun 14, 2017	11.98	0.5008316	12.02	0.16638184
42	SMDMX	Oct 13, 2017	11.39	Jul 17, 2017	11.33	0.52957153	11.35	0.352417
43	PRFSX	Oct 13, 2017	5.62	Jul 17, 2017	5.59	0.53666687	5.61	0.17825317
44	SJNK	Oct 13, 2017	27.85	Jul 17, 2017	27.7	0.54151917	27.87	-0.071762085
45	CDSIX	Oct 13, 2017	16.22	Jul 17, 2017	16.13	0.55796814	16.2	0.12345123	*BT*
46	FIBAX	Oct 13, 2017	10.79	Jul 17, 2017	10.73	0.55918884	10.74	0.46554565
47	FSTFX	Oct 13, 2017	10.6	Jul 17, 2017	10.54	0.56925964	10.59	0.094429016
48	USSTX	Oct 13, 2017	10.5	Jul 17, 2017	10.44	0.5747223	10.5	0.0
49	FVIIX	Oct 13, 2017	10.29	Jul 17, 2017	10.23	0.5865097	10.25	0.39024353	*BT*
50	BMBSX	Oct 13, 2017	11.93	Jul 17, 2017	11.86	0.5902252	11.9	0.2521057
51	FSFFX	Sep 06, 2017	12.97	Jun 07, 2017	12.89	0.620636	12.97	0.0
52	FTHRX	Oct 13, 2017	10.9	Jul 17, 2017	10.83	0.6463547	10.87	0.2759781
53	FGOVX	Oct 13, 2017	10.28	Jul 17, 2017	10.21	0.68559265	10.23	0.48875427
54	FSAZX	Oct 13, 2017	12.11	Jul 17, 2017	12.02	0.74874115	12.06	0.41458893
55	NAD	Oct 13, 2017	14.12	Jul 17, 2017	14.01	0.7851486	14.1	0.14183807
56	FSIPX	Oct 13, 2017	9.93	Jul 17, 2017	9.85	0.8121872	9.89	0.40444946
57	JNK	Oct 13, 2017	37.18	Jul 17, 2017	36.88	0.81344604	37.18	0.0
58	FKTWX	Sep 13, 2017	15.81	Jun 14, 2017	15.68	0.8290787	15.79	0.12666321
59	FFRHX	Oct 13, 2017	9.65	Jul 17, 2017	9.57	0.8359451	9.64	0.10372162
60	NOITX	Oct 13, 2017	10.57	Jul 17, 2017	10.48	0.8587799	10.55	0.18956757
61	FIBFX	Sep 06, 2017	11.35	Jun 07, 2017	11.25	0.8888931	11.35	0.0
62	USVAX	Oct 13, 2017	11.33	Jul 17, 2017	11.23	0.8904724	11.3	0.26548004
63	FFIGX	Sep 06, 2017	15.58	Jun 07, 2017	15.44	0.9067383	15.58	0.0
64	TGFNX	Oct 13, 2017	11.01	Jul 17, 2017	10.91	0.9165878	10.96	0.45619965
65	FFKEX	Sep 13, 2017	16.31	Jun 14, 2017	16.16	0.9282074	16.28	0.18426514
66	FIPAX	Oct 13, 2017	11.9	Jul 17, 2017	11.79	0.932991	11.83	0.5917206
67	NCITX	Oct 13, 2017	10.73	Jul 17, 2017	10.63	0.94072723	10.7	0.280365
68	FTBFX	Oct 13, 2017	10.71	Jul 17, 2017	10.61	0.94252014	10.7	0.09346008
69	NOAZX	Oct 13, 2017	10.7	Jul 17, 2017	10.6	0.9433899	10.67	0.28115845
70	FSITX	Oct 13, 2017	11.65	Jul 17, 2017	11.54	0.9532013	11.61	0.3445282
71	FCVSX	Oct 13, 2017	28.18	Jul 17, 2017	27.91	0.96739197	28.25	-0.24778748
72	FGMNX	Oct 13, 2017	11.48	Jul 17, 2017	11.37	0.967453	11.44	0.34965515
73	TGMNX	Oct 13, 2017	10.34	Jul 17, 2017	10.24	0.9765625	10.3	0.38835144
