1	PHK	Oct 20, 2017	7.63	Jul 24, 2017	8.42	-9.382423	8.19	-6.8376007	*P*
2	AMLP	Oct 20, 2017	10.8	Jul 24, 2017	11.73	-7.928383	11.18	-3.3989258
3	CHAD	Oct 20, 2017	32.68	Jul 24, 2017	35.09	-6.8680496	32.57	0.3377304
4	FEXKX	Oct 20, 2017	21.44	Jul 24, 2017	22.72	-5.6337967	21.12	1.515152
5	FEXPX	Oct 20, 2017	21.48	Jul 24, 2017	22.75	-5.5824203	21.17	1.4643326
6	RYURX	Oct 20, 2017	64.07	Jul 24, 2017	66.94	-4.28743	64.63	-0.86647034
7	FDFAX	Oct 20, 2017	95.75	Jul 24, 2017	99.66	-3.9233475	96.93	-1.2173691
8	BCITX	Oct 20, 2017	11.5	Jul 24, 2017	11.87	-3.1171036	11.96	-3.8461533
9	FBMPX	Oct 20, 2017	80.53	Jul 24, 2017	82.44	-2.3168411	79.56	1.2192154
10	PTM	Oct 20, 2017	9.6	Jul 24, 2017	9.82	-2.2403183	9.72	-1.2345657
11	FBAKX	Oct 20, 2017	23.65	Jul 24, 2017	24.14	-2.0298233	23.59	0.25434875
12	FBALX	Oct 20, 2017	23.66	Jul 24, 2017	24.15	-2.028984	23.59	0.29673767
13	HLPPX	Oct 20, 2017	14.54	Jul 24, 2017	14.84	-2.0215607	14.67	-0.8861618
14	GVPIX	Oct 20, 2017	54.0	Jul 24, 2017	54.59	-1.0807877	55.14	-2.0674667
15	FSOFX	Sep 06, 2017	14.15	Jun 07, 2017	14.3	-1.0489502	14.15	0.0
16	FZAAX	Oct 20, 2017	21.15	Jul 24, 2017	21.37	-1.0294876	21.09	0.2844925	*BT*
17	FSHCX	Oct 20, 2017	92.42	Jul 24, 2017	93.34	-0.9856415	87.85	5.2020416
18	RYGBX	Oct 20, 2017	52.25	Jul 24, 2017	52.74	-0.9290848	53.32	-2.006752
19	CHTTX	Oct 20, 2017	43.02	Jul 24, 2017	43.39	-0.8527298	42.79	0.5375061
20	BCLTX	Oct 20, 2017	11.5	Jul 24, 2017	11.57	-0.605011	11.69	-1.6253204
21	PRTIX	Oct 20, 2017	5.73	Jul 24, 2017	5.76	-0.5208359	5.77	-0.6932373
22	FKVFX	Sep 13, 2017	13.85	Jun 14, 2017	13.91	-0.43134308	13.83	0.14461517
23	FSESX	Oct 20, 2017	44.27	Jul 24, 2017	44.45	-0.40494537	46.12	-4.0112762
24	PRULX	Oct 20, 2017	12.53	Jul 24, 2017	12.58	-0.3974533	12.72	-1.4937134
25	FFKCX	Sep 13, 2017	13.15	Jun 14, 2017	13.2	-0.37878418	13.13	0.15231323
26	FIBAX	Oct 20, 2017	10.72	Jul 24, 2017	10.76	-0.37174988	10.79	-0.6487503
27	VFITX	Oct 20, 2017	11.13	Jul 24, 2017	11.17	-0.3581009	11.2	-0.625
28	IEI	Oct 20, 2017	123.01	Jul 24, 2017	123.43	-0.340271	123.6	-0.4773407
29	VUSTX	Oct 20, 2017	12.14	Jul 24, 2017	12.18	-0.3284073	12.32	-1.4610367
30	FLBAX	Oct 20, 2017	13.0	Jul 24, 2017	13.04	-0.30674744	13.2	-1.515152
31	VGHCX	Oct 20, 2017	216.51	Jul 24, 2017	217.13	-0.28554535	215.14	0.63679504
32	VGHAX	Oct 20, 2017	91.34	Jul 24, 2017	91.59	-0.27295685	90.76	0.6390457
33	FGOVX	Oct 20, 2017	10.22	Jul 24, 2017	10.24	-0.19530487	10.28	-0.5836563
34	FVIIX	Oct 20, 2017	10.24	Jul 24, 2017	10.26	-0.19493866	10.29	-0.4859085	*BT*
35	FSBAX	Oct 20, 2017	10.37	Jul 24, 2017	10.39	-0.19249725	10.4	-0.28845978
36	FSTGX	Oct 20, 2017	10.46	Jul 24, 2017	10.48	-0.19083405	10.5	-0.38095093
37	FFXSX	Oct 20, 2017	9.92	Jul 24, 2017	9.93	-0.10070801	9.94	-0.2012024
38	PFBDX	Oct 20, 2017	9.95	Jul 24, 2017	9.96	-0.10040283	10.06	-1.0934448
39	BTTTX	Oct 20, 2017	104.06	Jul 24, 2017	104.16	-0.0960083	104.25	-0.1822586
40	VSGBX	Oct 20, 2017	10.66	Jul 24, 2017	10.67	-0.09371948	10.69	-0.28063965
41	SHY	Oct 20, 2017	84.29	Jul 24, 2017	84.33	-0.047431946	84.39	-0.11849213
42	FFIPX	Sep 06, 2017	9.93	Jun 07, 2017	9.93	0.0	9.93	0.0
43	RWX	Oct 20, 2017	38.64	Jul 24, 2017	38.63	0.025878906	38.78	-0.3610077
44	BSV	Oct 20, 2017	79.65	Jul 24, 2017	79.61	0.050247192	79.78	-0.16294861	*P*
45	FSAZX	Oct 20, 2017	12.1	Jul 24, 2017	12.09	0.082717896	12.11	-0.08257294
46	FIPAX	Oct 20, 2017	11.83	Jul 24, 2017	11.82	0.084602356	11.9	-0.58823395
47	FBIDX	Oct 20, 2017	11.59	Jul 24, 2017	11.58	0.08635712	11.66	-0.6003418
48	VBIIX	Oct 20, 2017	11.42	Jul 24, 2017	11.41	0.087646484	11.49	-0.6092224
49	FTHRX	Oct 20, 2017	10.86	Jul 24, 2017	10.85	0.092163086	10.9	-0.36697388
50	NOAZX	Oct 20, 2017	10.69	Jul 24, 2017	10.68	0.09362793	10.7	-0.09346008
51	FSIPX	Oct 20, 2017	9.88	Jul 24, 2017	9.87	0.10131836	9.93	-0.5035248
52	FSHBX	Oct 20, 2017	8.61	Jul 24, 2017	8.6	0.11626434	8.63	-0.23175812
53	JQC	Oct 20, 2017	8.4	Jul 24, 2017	8.39	0.1191864	8.48	-0.9433899
54	NAD	Oct 20, 2017	14.07	Jul 24, 2017	14.05	0.14234924	14.12	-0.35411072
55	FINPX	Oct 20, 2017	11.98	Jul 24, 2017	11.96	0.16721344	12.06	-0.6633606
56	BMBSX	Oct 20, 2017	11.93	Jul 24, 2017	11.91	0.1679306	11.93	0.0
57	FGMNX	Oct 20, 2017	11.42	Jul 24, 2017	11.4	0.17543793	11.48	-0.52264404
58	FMSFX	Oct 20, 2017	11.24	Jul 24, 2017	11.22	0.17825317	11.3	-0.53097534
59	VMLTX	Oct 20, 2017	10.99	Jul 24, 2017	10.97	0.18230438	10.99	0.0
60	PRRDX	Oct 20, 2017	10.98	Jul 24, 2017	10.96	0.18247223	11.05	-0.6334915
61	TGFNX	Oct 20, 2017	10.96	Jul 24, 2017	10.94	0.18281555	11.01	-0.45413208
62	VBMFX	Oct 20, 2017	10.76	Jul 24, 2017	10.74	0.18622589	10.81	-0.46253967
