1	AMLP	Oct 27, 2017	10.65	Jul 31, 2017	11.77	-9.515724	10.8	-1.3888931
2	CHAD	Oct 27, 2017	31.85	Jul 31, 2017	34.89	-8.713097	32.68	-2.5397797
3	PHK	Oct 27, 2017	7.82	Jul 31, 2017	8.46	-7.56501	7.63	2.4901733	*P*
4	FBMPX	Oct 27, 2017	78.7	Jul 31, 2017	84.87	-7.269951	80.53	-2.2724457
5	FSESX	Oct 27, 2017	42.78	Jul 31, 2017	45.42	-5.812416	44.27	-3.365715
6	FDFAX	Oct 27, 2017	94.02	Jul 31, 2017	98.9	-4.9342804	95.75	-1.8067932
7	RYURX	Oct 27, 2017	63.93	Jul 31, 2017	66.96	-4.5250854	64.07	-0.21851349
8	HLPPX	Oct 27, 2017	14.36	Jul 31, 2017	14.92	-3.7533493	14.54	-1.2379608
9	FSAGX	Oct 27, 2017	20.03	Jul 31, 2017	20.68	-3.143135	20.74	-3.4233322	*P*
10	MERKX	Oct 27, 2017	9.82	Jul 31, 2017	10.12	-2.9644318	9.98	-1.6032028
11	USAGX	Oct 27, 2017	12.6	Jul 31, 2017	12.94	-2.6275024	13.14	-4.1095886
12	FSTCX	Oct 27, 2017	67.22	Jul 31, 2017	68.83	-2.339096	67.91	-1.0160599
13	FPHAX	Oct 27, 2017	18.57	Jul 31, 2017	19.01	-2.3145752	19.41	-4.327667
14	RWX	Oct 27, 2017	38.17	Jul 31, 2017	39.01	-2.1532974	38.64	-1.2163544
15	NAD	Oct 27, 2017	13.85	Jul 31, 2017	14.15	-2.12014	14.07	-1.5636063
16	XMPT	Oct 27, 2017	26.58	Jul 31, 2017	27.13	-2.027275	27.05	-1.7375259
17	IHE	Oct 27, 2017	151.85	Jul 31, 2017	154.84	-1.931015	158.68	-4.3042526
18	JQC	Oct 27, 2017	8.38	Jul 31, 2017	8.54	-1.8735352	8.4	-0.23809052
19	CHTTX	Oct 27, 2017	42.25	Jul 31, 2017	43.04	-1.8355026	43.02	-1.7898712
20	FSNGX	Oct 27, 2017	23.38	Jul 31, 2017	23.81	-1.8059692	23.56	-0.76400757
21	EMLC	Oct 27, 2017	18.63	Jul 31, 2017	18.97	-1.792305	18.96	-1.7405014
22	PFBDX	Oct 27, 2017	9.87	Jul 31, 2017	10.05	-1.7910461	9.95	-0.8040161
23	ICF	Oct 27, 2017	99.59	Jul 31, 2017	101.38	-1.7656326	101.39	-1.775322
24	WIP	Oct 27, 2017	55.86	Jul 31, 2017	56.83	-1.7068481	56.9	-1.827774
25	NKX	Oct 27, 2017	15.45	Jul 31, 2017	15.7	-1.5923538	15.8	-2.2151947	*P*
26	VNQ	Oct 27, 2017	82.28	Jul 31, 2017	83.4	-1.342926	83.65	-1.6377792
27	PTM	Oct 27, 2017	9.56	Jul 31, 2017	9.68	-1.2396698	9.6	-0.41666412
28	ROOF	Oct 27, 2017	26.93	Jul 31, 2017	27.23	-1.1017227	27.34	-1.4996338
29	FSOFX	Sep 06, 2017	14.15	Jun 07, 2017	14.3	-1.0489502	14.15	0.0
30	FRESX	Oct 27, 2017	41.6	Jul 31, 2017	42.04	-1.0466309	42.13	-1.2580185
31	BULIX	Oct 27, 2017	18.39	Jul 31, 2017	18.57	-0.96930695	18.49	-0.5408325
32	IBB	Oct 27, 2017	316.12	Jul 31, 2017	318.98	-0.8966141	331.8	-4.7257385
33	VGHCX	Oct 27, 2017	211.26	Jul 31, 2017	213.1	-0.8634491	216.51	-2.4248276
34	VGHAX	Oct 27, 2017	89.13	Jul 31, 2017	89.89	-0.8454819	91.34	-2.4195328
35	JDD	Oct 27, 2017	12.66	Jul 31, 2017	12.76	-0.78369904	12.85	-1.4785995	*P*
36	FIBAX	Oct 27, 2017	10.7	Jul 31, 2017	10.77	-0.64995575	10.72	-0.18656921
37	GABUX	Oct 27, 2017	9.46	Jul 31, 2017	9.52	-0.63025665	9.54	-0.83856964
38	RYGBX	Oct 27, 2017	51.79	Jul 31, 2017	52.11	-0.61408234	52.25	-0.8803787
39	BCLTX	Oct 20, 2017	11.5	Jul 24, 2017	11.57	-0.605011	11.69	-1.6253204
