
1	CHAD	Nov 03, 2017	32.25	Aug 07, 2017	35.13	-8.198128	31.85	1.2558823
2	PHK	Nov 03, 2017	7.83	Aug 07, 2017	8.51	-7.990608	7.82	0.12787628
3	FSTCX	Nov 03, 2017	64.41	Aug 07, 2017	69.85	-7.788109	67.22	-4.180298
4	AMLP	Nov 03, 2017	10.77	Aug 07, 2017	11.56	-6.833908	10.65	1.12677
5	FDFAX	Nov 03, 2017	92.67	Aug 07, 2017	98.84	-6.2424088	94.02	-1.4358673
6	FBMPX	Nov 03, 2017	78.14	Aug 07, 2017	83.3	-6.194481	78.7	-0.7115631
7	RYURX	Nov 03, 2017	63.76	Aug 07, 2017	66.67	-4.3647842	63.93	-0.26592255
8	JQC	Nov 03, 2017	8.25	Aug 07, 2017	8.49	-2.826851	8.38	-1.5513153
9	HLPPX	Nov 03, 2017	14.43	Aug 07, 2017	14.81	-2.565834	14.37	0.4175415
10	EMLC	Nov 03, 2017	18.38	Aug 07, 2017	18.85	-2.4933777	18.54	-0.8630066
11	MERKX	Nov 03, 2017	9.8	Aug 07, 2017	10.04	-2.390442	9.82	-0.20366669
12	CHTTX	Nov 03, 2017	41.64	Aug 07, 2017	42.63	-2.3223114	42.25	-1.4437943
13	BULIX	Nov 03, 2017	18.24	Aug 07, 2017	18.61	-1.9881821	18.39	-0.81565857
14	GABUX	Nov 03, 2017	9.43	Aug 07, 2017	9.61	-1.8730392	9.46	-0.3171234
15	PTM	Nov 03, 2017	9.7	Aug 07, 2017	9.87	-1.7223892	9.56	1.4644241
16	NKX	Nov 03, 2017	15.45	Aug 07, 2017	15.72	-1.7175598	15.45	0.0	*P*
17	NAD	Nov 03, 2017	13.96	Aug 07, 2017	14.15	-1.3427582	13.85	0.79422
18	XMPT	Nov 03, 2017	26.57	Aug 07, 2017	26.92	-1.300148	26.48	0.33987427
19	WIP	Nov 03, 2017	56.0	Aug 07, 2017	56.68	-1.1997147	55.69	0.5566559
20	PFBDX	Nov 03, 2017	9.89	Aug 07, 2017	10.01	-1.1987991	9.87	0.20264435
21	FPHAX	Nov 03, 2017	18.57	Aug 07, 2017	18.78	-1.1182175	18.57	0.0
22	ROOF	Nov 03, 2017	26.68	Aug 07, 2017	26.98	-1.1119308	26.93	-0.92832947
23	FSOFX	Sep 06, 2017	14.15	Jun 07, 2017	14.3	-1.0489502	14.15	0.0
24	RWX	Nov 03, 2017	38.5	Aug 07, 2017	38.87	-0.95188904	38.17	0.86455536
25	BCLTX	Oct 20, 2017	11.5	Jul 24, 2017	11.57	-0.605011	11.69	-1.6253204
26	JDD	Nov 03, 2017	12.76	Aug 07, 2017	12.82	-0.46801758	12.66	0.7898941	*P*
27	FSAGX	Nov 03, 2017	19.91	Aug 07, 2017	20.0	-0.45000458	20.03	-0.59910583
28	FIUIX	Nov 03, 2017	26.78	Aug 07, 2017	26.9	-0.4460907	27.02	-0.88822937
29	FKVFX	Sep 13, 2017	13.85	Jun 14, 2017	13.91	-0.43134308	13.83	0.14461517
30	FFKCX	Sep 13, 2017	13.15	Jun 14, 2017	13.2	-0.37878418	13.13	0.15231323
31	FIBAX	Nov 03, 2017	10.75	Aug 07, 2017	10.79	-0.37071228	10.7	0.46728516
32	VFITX	Nov 03, 2017	11.16	Aug 07, 2017	11.2	-0.35714722	11.13	0.2695465
33	PRFSX	Nov 03, 2017	5.6	Aug 07, 2017	5.62	-0.3558731	5.6	0.0
