1	CHAD	Nov 10, 2017	31.26	Aug 14, 2017	35.42	-11.744774	32.25	-3.0697632
2	FSTCX	Nov 10, 2017	63.51	Aug 14, 2017	69.95	-9.2065735	0.0	Infinity
3	PHK	Nov 10, 2017	7.66	Aug 14, 2017	8.24	-7.0388336	7.75	-1.161293
4	RYURX	Nov 10, 2017	63.87	Aug 14, 2017	67.04	-4.7285233	63.76	0.17251587
5	PTM	Nov 10, 2017	9.77	Aug 14, 2017	10.22	-4.4031296	9.7	0.7216568
6	FBMPX	Nov 10, 2017	80.28	Aug 14, 2017	83.8	-4.200485	78.14	2.738678
7	FDFAX	Nov 10, 2017	93.95	Aug 14, 2017	97.52	-3.6607895	92.67	1.3812408
8	AMLP	Nov 10, 2017	10.56	Aug 14, 2017	10.87	-2.851883	10.57	-0.09459686
9	JQC	Nov 10, 2017	8.2	Aug 14, 2017	8.41	-2.4970322	8.25	-0.60606384
10	FSAGX	Nov 10, 2017	20.01	Aug 14, 2017	20.52	-2.485382	19.91	0.50226593
11	MERKX	Nov 10, 2017	9.85	Aug 14, 2017	10.06	-2.087471	9.8	0.5102005
12	BULIX	Nov 10, 2017	18.15	Aug 14, 2017	18.53	-2.0507355	18.24	-0.49341583
13	USAGX	Nov 10, 2017	12.59	Aug 14, 2017	12.83	-1.8706131	12.58	0.07949066
14	EMLC	Nov 10, 2017	18.45	Aug 14, 2017	18.8	-1.8616943	18.38	0.38085938
15	FPHAX	Nov 10, 2017	18.28	Aug 14, 2017	18.59	-1.6675568	18.57	-1.5616531
16	GVPIX	Nov 10, 2017	54.16	Aug 14, 2017	54.98	-1.4914551	55.12	-1.7416534
17	GABUX	Nov 10, 2017	9.41	Aug 14, 2017	9.55	-1.4659729	9.43	-0.21208954
18	RYGBX	Nov 10, 2017	52.39	Aug 14, 2017	53.13	-1.3928146	53.32	-1.7441864
19	XMPT	Nov 10, 2017	26.65	Aug 14, 2017	27.0	-1.2963028	0.0	Infinity
20	FSOFX	Sep 06, 2017	14.15	Jun 07, 2017	14.3	-1.0489502	14.15	0.0
21	PFBDX	Nov 10, 2017	9.92	Aug 14, 2017	10.02	-0.9980087	9.89	0.30332947
22	FLBAX	Nov 10, 2017	13.01	Aug 14, 2017	13.14	-0.98934937	0.0	Infinity
23	NKX	Nov 10, 2017	15.6	Aug 14, 2017	15.74	-0.8894501	0.0	Infinity	*P*
24	FIUIX	Nov 10, 2017	26.64	Aug 14, 2017	26.87	-0.8559799	26.78	-0.5227814
25	FIBAX	Nov 10, 2017	10.7	Aug 14, 2017	10.79	-0.83410645	10.75	-0.4651184
26	IEI	Nov 10, 2017	122.83	Aug 14, 2017	123.85	-0.8235779	0.0	Infinity
27	PRULX	Nov 10, 2017	12.54	Aug 14, 2017	12.64	-0.7911453	12.7	-1.2598419
28	FLBIX	Nov 10, 2017	13.01	Aug 14, 2017	13.11	-0.7627716	13.18	-1.2898331
29	VUSTX	Nov 10, 2017	12.15	Aug 14, 2017	12.24	-0.73529816	12.3	-1.2195206
