1	FSAGX	Dec 01, 2017	19.76	Sep 01, 2017	22.28	-11.310593	20.22	-2.274971
2	USAGX	Dec 01, 2017	12.58	Sep 01, 2017	13.92	-9.626434	12.85	-2.1011734
3	PHK	Dec 01, 2017	7.46	Sep 01, 2017	8.25	-9.575752	7.51	-0.66578674
4	PTM	Dec 01, 2017	9.72	Sep 01, 2017	10.48	-7.2518997	9.81	-0.9174347
5	SHOP	Dec 01, 2017	103.27	Sep 01, 2017	110.86	-6.8464737	111.81	-7.6379623	*P*
6	RYURX	Dec 01, 2017	62.35	Sep 01, 2017	66.67	-6.4796753	63.34	-1.5629959
7	FBIOX	Dec 01, 2017	216.14	Sep 01, 2017	229.77	-5.932022	216.6	-0.21237946	*P*
8	RSXJ	Dec 01, 2017	41.05	Sep 01, 2017	43.43	-5.4800873	41.96	-2.1687317
9	AMLP	Dec 01, 2017	10.52	Sep 01, 2017	11.04	-4.7101364	10.16	3.5433197
10	EWZ	Dec 01, 2017	39.03	Sep 01, 2017	40.61	-3.8906708	40.73	-4.173828
11	GLD	Dec 01, 2017	121.59	Sep 01, 2017	126.06	-3.5459366	122.32	-0.5967941
12	IAU	Dec 01, 2017	12.3	Sep 01, 2017	12.75	-3.5294113	12.38	-0.6462021
13	MERKX	Dec 01, 2017	9.9	Sep 01, 2017	10.2	-2.9411774	9.96	-0.60240936
14	FSUTX	Dec 01, 2017	82.91	Sep 01, 2017	85.19	-2.6763687	86.9	-4.591484
15	NKX	Dec 01, 2017	15.33	Sep 01, 2017	15.74	-2.604828	15.35	-0.1302948
16	FLATX	Dec 01, 2017	24.57	Sep 01, 2017	25.22	-2.5773163	25.39	-3.2296143	*P*
17	JDD	Dec 01, 2017	12.28	Sep 01, 2017	12.58	-2.3847427	12.16	0.9868393
18	FSTCX	Dec 01, 2017	68.04	Sep 01, 2017	69.63	-2.283493	65.58	3.7511444
19	CHAD	Dec 01, 2017	32.3	Sep 01, 2017	33.02	-2.1804962	30.99	4.227173
20	FBMPX	Dec 01, 2017	81.65	Sep 01, 2017	83.33	-2.0160828	79.93	2.151886
21	FIUIX	Dec 01, 2017	26.49	Sep 01, 2017	27.0	-1.8888855	27.09	-2.2148438
22	FPHAX	Dec 01, 2017	18.7	Sep 01, 2017	19.06	-1.8887634	18.59	0.5917206
23	NAD	Dec 01, 2017	13.91	Sep 01, 2017	14.17	-1.8348618	13.99	-0.5718384
24	EMLC	Dec 01, 2017	18.75	Sep 01, 2017	19.09	-1.781044	18.72	0.16026306
25	FLSAX	Dec 01, 2017	42.12	Sep 01, 2017	42.84	-1.6806717	44.97	-6.3375626
26	XMPT	Dec 01, 2017	26.62	Sep 01, 2017	27.06	-1.6260071	26.67	-0.18747711
27	JQC	Dec 01, 2017	8.2	Sep 01, 2017	8.32	-1.4423065	8.14	0.73709106
28	FIBIX	Dec 01, 2017	10.7	Sep 01, 2017	10.85	-1.3824921	10.72	-0.18656921
29	XBI	Dec 01, 2017	83.42	Sep 01, 2017	84.58	-1.3714828	81.96	1.7813568
30	FHIGX	Dec 01, 2017	13.05	Sep 01, 2017	13.23	-1.3605423	13.19	-1.0614014
31	FNMIX	Dec 01, 2017	16.16	Sep 01, 2017	16.38	-1.3430939	16.27	-0.67609406
32	FIBAX	Dec 01, 2017	10.7	Sep 01, 2017	10.84	-1.2915115	10.72	-0.18656921
33	FTFMX	Dec 01, 2017	13.15	Sep 01, 2017	13.32	-1.2762756	13.24	-0.6797638
34	BMBSX	Dec 01, 2017	11.8	Sep 01, 2017	11.95	-1.2552261	11.83	-0.25358582
35	VFITX	Dec 01, 2017	11.1	Sep 01, 2017	11.24	-1.2455444	11.12	-0.17984772
36	PRFSX	Dec 01, 2017	5.56	Sep 01, 2017	5.63	-1.2433395	5.57	-0.17953491
37	PRTIX	Dec 01, 2017	5.72	Sep 01, 2017	5.79	-1.2089844	5.73	-0.1745224
38	FCSTX	Dec 01, 2017	10.55	Sep 01, 2017	10.67	-1.124649	10.58	-0.28355408
39	FSCRX	Dec 01, 2017	29.82	Sep 01, 2017	30.14	-1.0617142	31.91	-6.549675
40	FSOFX	Sep 06, 2017	14.15	Jun 07, 2017	14.3	-1.0489502	14.15	0.0
41	IEI	Dec 01, 2017	122.52	Sep 01, 2017	123.8	-1.0339355	122.69	-0.13856506
42	NCITX	Dec 01, 2017	10.61	Sep 01, 2017	10.72	-1.026123	10.63	-0.18815613
43	BCITX	Dec 01, 2017	11.83	Sep 01, 2017	11.95	-1.0041809	11.87	-0.33698273
44	VMLTX	Dec 01, 2017	10.89	Sep 01, 2017	11.0	-1.0	10.91	-0.18331146
45	FSTGX	Dec 01, 2017	10.43	Sep 01, 2017	10.53	-0.94966125	10.45	-0.19138336
46	FSTFX	Dec 01, 2017	10.51	Sep 01, 2017	10.61	-0.9425049	10.54	-0.28462982
47	FWRLX	Dec 01, 2017	9.97	Sep 01, 2017	10.06	-0.89463806	10.41	-4.2267	*P*
48	TGMNX	Dec 01, 2017	10.25	Sep 01, 2017	10.34	-0.8704071	10.31	-0.5819626
49	VBIIX	Dec 01, 2017	11.39	Sep 01, 2017	11.49	-0.87031555	11.41	-0.17527771
50	VCAIX	Dec 01, 2017	11.74	Sep 01, 2017	11.84	-0.84459686	11.75	-0.085105896
51	PFBDX	Dec 01, 2017	10.02	Sep 01, 2017	10.1	-0.79208374	10.07	-0.496521
